req_id,text
ecommerce_f_076,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.
ecommerce_f_077,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.
ecommerce_f_078,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive
ecommerce_f_079,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive
ecommerce_f_080,The product shall continue to assign turns until the game is ended.
ecommerce_f_081,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive players ships  which had not been previously marked as sunk.
ecommerce_f_082,The product shall allow a player to end a game at any time during the game.
ecommerce_f_083,When a game is ended  the product shall notify the players that the game is ended.
ecommerce_f_084,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.
ecommerce_f_085,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.
