req_id,system,class,source,text,numbers_count,units_count,explicit_quantifiers,modal_score,strong_modal,weak_modal,actor_score,actor_specific,vague_lex_hits,comparative_unanchored,open_quantifier,num_present,unit_present,kpi_near,std_present,cue_score,L,_row_idx,sim_spec_sys,sim_vague_sys,M_raw_sys,M_sys,w_L_sys,w_M_sys,bank_Q_sys,bank_shrink_a_sys,VB_size_sys,SB_size_sys,S_final_sys
ecommerce_sc_010,ecommerce,sc,unchanged,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,1,0,2,1.0,1,0,0.0,0,0,False,False,1,0,0,0,4.0,0.8,170,,,,,,,,,,,
ecommerce_se_007,ecommerce,se,unchanged,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,1,0,6,1.0,1,0,1.0,1,0,False,False,1,0,0,0,9.25,1.0,176,,,,,,,,,,,
ecommerce_us_001,ecommerce,us,unchanged,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,2,1,3,1.0,1,0,0.0,0,0,False,False,1,1,1,0,7.25,1.0,185,,,,,,,,,,,
ecommerce_us_004,ecommerce,us,unchanged,90% of untrained realtors shall be able to install the product on their device without printed instructions,1,0,2,1.0,1,0,1.0,1,0,False,False,1,0,0,0,5.0,1.0,188,,,,,,,,,,,
ecommerce_us_006,ecommerce,us,unchanged,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,2,1,3,1.0,1,0,1.0,1,0,False,False,1,1,1,0,8.0,1.0,190,,,,,,,,,,,
ecommerce_us_011,ecommerce,us,unchanged,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,2,1,3,1.0,1,0,0.0,0,0,False,False,1,1,1,0,7.25,1.0,195,,,,,,,,,,,
ecommerce_us_015,ecommerce,us,unchanged,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,1,1,4,1.0,1,0,0.0,0,0,False,False,1,1,1,0,7.25,1.0,199,,,,,,,,,,,
ecommerce_us_019,ecommerce,us,unchanged,The product shall be translated into foreign languages other than the target market countries languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market�s language.,1,2,3,1.0,1,0,0.0,0,0,False,False,1,1,1,0,7.0,1.0,202,,,,,,,,,,,
ecommerce_us_020,ecommerce,us,unchanged,The product shall be able to display calendar dates and times according to the users locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,1,0,3,1.0,1,0,0.0,0,0,False,False,1,0,0,0,5.25,1.0,203,,,,,,,,,,,
ecommerce_us_028,ecommerce,us,unchanged,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),0,1,3,1.0,1,0,1.0,1,0,False,False,0,1,0,0,6.0,1.0,211,,,,,,,,,,,
