req_id,text,system,class,source
raw_0032,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,education,f,raw
raw_0033,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,education,f,raw
raw_0034,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,education,f,raw
raw_0035,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,education,f,raw
raw_0036,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,education,f,raw
raw_0037,The system shall be able to display a printable summary of the system log.,field_service,f,raw
raw_0038,The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,education,f,raw
raw_0039,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohorts program of study and changes to a given weeks schedule (lab cancelled this week due to instructor illness).,education,f,raw
raw_0040,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a students status from full time to part time and moving a student to a different clinical section.,education,f,raw
raw_0041,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,education,f,raw
raw_0042,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,education,f,raw
raw_0043,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,education,us,raw
raw_0044,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,education,us,raw
raw_0045,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,education,us,raw
raw_0046,The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,field_service,o,raw
raw_0047,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,banking,o,raw
raw_0048,If a user account is revoked it can only be re-instantiated by the System Administrator.,banking,se,raw
raw_0049,Only the System Administrator shall be able to reset a revoked user logon account,banking,se,raw
raw_0050,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,banking,l,raw
raw_0051,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,banking,f,raw
raw_0052,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,banking,f,raw
raw_0053,The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,ecommerce,f,raw
raw_0054,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,field_service,f,raw
raw_0055,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,banking,f,raw
raw_0056,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,banking,f,raw
raw_0057,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,banking,f,raw
raw_0058,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,healthcare,f,raw
raw_0059,The product must support Internet Explorer 5.5 and above.,ecommerce,o,raw
raw_0060,The product must support Mozilla Firefox 1.0 and above.,ecommerce,o,raw
raw_0061,The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,ecommerce,o,raw
raw_0062,The product shall run on the existing hardware for all environments.,ecommerce,o,raw
raw_0063,The product shall adhere to the corporate Architecture guidelines,ecommerce,o,raw
raw_0064,The product shall comply with corporate User Interface Guidelines,ecommerce,lf,raw
raw_0065,The product shall comply with corporate color scheme,ecommerce,lf,raw
raw_0066,The appearance of the product shall appear professional,ecommerce,lf,raw
raw_0067,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,ecommerce,us,raw
raw_0068,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,ecommerce,us,raw
raw_0069,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,ecommerce,us,raw
raw_0070,The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,ecommerce,us,raw
raw_0071,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,ecommerce,us,raw
raw_0072,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,field_service,pe,raw
raw_0073,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,field_service,pe,raw
raw_0074,The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,ecommerce,a,raw
raw_0075,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,ecommerce,a,raw
raw_0076,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,ecommerce,sc,raw
raw_0077,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,ecommerce,sc,raw
raw_0078,For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,ecommerce,o,raw
raw_0079,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,ecommerce,o,raw
raw_0080,The maintenance of the product will fall within the established corporate maintenance windows.,ecommerce,o,raw
raw_0081,The product shall be supported using the corporate support center.,ecommerce,o,raw
raw_0082,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,ecommerce,o,raw
raw_0083,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,field_service,se,raw
raw_0084,One insurance company shall not be able to view another insurance companys claim data.,healthcare,se,raw
raw_0085,The product shall free of computer viruses.,ecommerce,se,raw
raw_0086,The product must comply with Sarbanes-Oxley.,ecommerce,l,raw
raw_0087,The product shall comply with the estimatics laws relating to recycled parts usage.,ecommerce,l,raw
raw_0088,The product shall comply with insurance regulations regarding claims processing.,ecommerce,l,raw
raw_0089,The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,field_service,f,raw
raw_0090,The system shall locate the preferred repair facility with the highest ratings for the input criteria,field_service,f,raw
raw_0091,The adjuster shall enter the preferred repair facility on the estimate assignment.,education,f,raw
raw_0092,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,education,f,raw
raw_0093,The preferred repair facility shall be returned to the user.,field_service,f,raw
raw_0094,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,field_service,f,raw
raw_0095,The adjuster shall review the collision estimate.,ecommerce,f,raw
raw_0096,The user shall select to view the preferred repair facility ratings.,field_service,f,raw
raw_0097,The current repair facility ratings shall be displayed to the user.,field_service,f,raw
raw_0098,The user shall select to save the preferred repair facility ratings.,field_service,f,raw
raw_0099,The preferred repair facility ratings shall be saved by the system.,field_service,f,raw
raw_0100,The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,ecommerce,o,raw
raw_0101,The product will function alongside server software on any operating system where the Java runtime can be installed.,ecommerce,o,raw
raw_0102,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,ecommerce,o,raw
raw_0103,The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,ecommerce,o,raw
raw_0104,A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,ecommerce,o,raw
raw_0105,The product shall have a conservative and professional appearance.,ecommerce,lf,raw
raw_0106,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,ecommerce,us,raw
raw_0107,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,ecommerce,us,raw
raw_0108,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,ecommerce,us,raw
raw_0109,The product shall allow the user to select a chosen language from one of the target market countries.,ecommerce,us,raw
raw_0110,The product shall allow for customization of start page and views preferences.,ecommerce,us,raw
raw_0111,An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,ecommerce,us,raw
raw_0112,The product shall use a standard navigation menu familiar to most web users.,ecommerce,us,raw
raw_0113,The product shall allow for intuitive searching of available conference rooms.,ecommerce,us,raw
raw_0114,The product shall conform to the Americans with Disabilities Act.,ecommerce,us,raw
raw_0115,Aside from server failure the software product shall achieve 99.99% up time.,ecommerce,a,raw
raw_0116,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,ecommerce,ft,raw
raw_0117,The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,ecommerce,sc,raw
raw_0118,The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,ecommerce,sc,raw
raw_0119,The product shall be expected to operate for at least 5 years for each customer installation.,ecommerce,sc,raw
raw_0120,The product shall be used in office environments.,ecommerce,o,raw
raw_0121,The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,ecommerce,o,raw
raw_0122,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,ecommerce,o,raw
raw_0123,The product must be able to interface with various email servers. The product shall be able to send email.,ecommerce,o,raw
raw_0124,The product shall be available for distribution via the Internet as a binary or ZIP file.,ecommerce,o,raw
raw_0125,The product shall be available for distribution as a packaged CD.,ecommerce,o,raw
raw_0126,The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,ecommerce,o,raw
raw_0127,A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,field_service,us,raw
raw_0128,The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,ecommerce,mn,raw
raw_0129,The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product�s software code.,ecommerce,mn,raw
raw_0130,Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,ecommerce,mn,raw
raw_0131,The customer shall be able to easily integrate new building maps with the product throughout the products lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,ecommerce,mn,raw
raw_0132,The product shall be translated into foreign languages other than the target market countries languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market�s language.,ecommerce,us,raw
raw_0133,The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,ecommerce,o,raw
raw_0134,The product shall be able to be installed in any operating environment within 2 days.,ecommerce,o,raw
raw_0135,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,ecommerce,se,raw
raw_0136,The product shall ensure that the databases data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,ecommerce,se,raw
raw_0137,The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems data shall remain 100% uncorrupted each time malicious data is input into the product.,ecommerce,se,raw
raw_0138,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,ecommerce,ft,raw
raw_0139,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,ecommerce,se,raw
raw_0140,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,ecommerce,sc,raw
raw_0141,The product shall be able to display calendar dates and times according to the users locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,ecommerce,us,raw
raw_0142,The product must be developed with the J2SE/J2EE programming language libraries,ecommerce,o,raw
raw_0143,The product shall record meeting entries.,ecommerce,f,raw
raw_0144,The product will notify employees of meeting invitations.,ecommerce,f,raw
raw_0145,The product shall have the ability to send meeting reminders to employees.,ecommerce,f,raw
raw_0146,The product shall assign the organizers contact information to each meeting they create.,ecommerce,f,raw
raw_0147,The product will record meeting acknowledgements.,ecommerce,f,raw
raw_0148,The product shall store new conference rooms.,ecommerce,f,raw
raw_0149,The product shall update existing conference rooms.,ecommerce,f,raw
raw_0150,The product will be able to delete conference rooms.,ecommerce,f,raw
raw_0151,The product shall be able to store new room equipment.,ecommerce,f,raw
raw_0152,The product will update existing room equipment.,ecommerce,f,raw
raw_0153,The product shall be able to delete room equipment.,ecommerce,f,raw
raw_0154,The product shall allow an organizer to invite other employees to meetings.,ecommerce,f,raw
raw_0155,The product shall record the transportation status of equipment reserved.,ecommerce,f,raw
raw_0156,The product shall display a map of the company building showing conference room locations.,ecommerce,f,raw
raw_0157,The product shall record updated meeting agendas.,ecommerce,f,raw
raw_0158,The product shall send a meeting confirmation to the meeting organizer.,ecommerce,f,raw
raw_0159,The product shall display room equipment according to search parameters.,ecommerce,f,raw
raw_0160,The product shall display conference rooms according to search parameters.,ecommerce,f,raw
raw_0161,The product shall record different meeting types.,ecommerce,f,raw
raw_0162,The product shall record all the equipment that has been reserved.,ecommerce,f,raw
raw_0163,The product shall notify building personnel of equipment transport requests.,ecommerce,f,raw
raw_0164,The product will allow priviledged users to view meeting schedules in multiple reporting views.,ecommerce,f,raw
raw_0165,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,ecommerce,f,raw
raw_0166,The product shall have a customizable Look and Feel.,ecommerce,f,raw
raw_0167,The product shall have an intuitive user interface.,ecommerce,f,raw
raw_0168,The product will display an available status for unreserved conference rooms.,ecommerce,f,raw
raw_0169,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,ecommerce,pe,raw
raw_0170,The System shall utilize currently owned computer equipment.,field_service,o,raw
raw_0171,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,ecommerce,f,raw
raw_0172,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,ecommerce,f,raw
raw_0173,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,banking,f,raw
raw_0174,The System shall allow entering storing and modifying product formulas.,ecommerce,f,raw
raw_0175,Product formulas shall allow use of semi-products which have own formulas.,ecommerce,f,raw
raw_0176,Product formula ingredients shall allow defining substitutionary ingredients.,ecommerce,f,raw
raw_0177,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,ecommerce,f,raw
raw_0178,Formula substitutionary ingredients shall be kept in persisted order,ecommerce,f,raw
raw_0179,Product shall allow entering storing and modifying product menus used by POS terminals.,ecommerce,f,raw
raw_0180,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,ecommerce,f,raw
raw_0181,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,ecommerce,f,raw
raw_0182,PME Subsystem shall allow for a product to exist in more than one submenu,ecommerce,f,raw
raw_0183,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,ecommerce,f,raw
raw_0184,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,ecommerce,f,raw
raw_0185,Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,ecommerce,pe,raw
raw_0186,System shall let existing customers log into the website with their email address and password in under 5 seconds.,field_service,pe,raw
raw_0187,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,banking,pe,raw
raw_0188,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,banking,pe,raw
raw_0189,The product should be able to be used by 90% of novice users on the Internet.,ecommerce,us,raw
raw_0190,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,banking,us,raw
raw_0191,The product shall retain the customers buying preferences and information.,ecommerce,us,raw
raw_0192,The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,ecommerce,us,raw
raw_0193,The product shall use symbols and words that are naturally understandable by users familiar with websites,ecommerce,us,raw
raw_0194,When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,banking,pe,raw
raw_0195,All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,banking,se,raw
raw_0196,The website shall continue to operate if the payment gateway goes down.,banking,ft,raw
raw_0197,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,ecommerce,mn,raw
raw_0198,Website must interface with the CyberSource API to process credit card transactions.,banking,o,raw
raw_0199,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,ecommerce,pe,raw
raw_0200,The product shall be able to be installed in the specified environment within 1 working day.,ecommerce,o,raw
raw_0201,Only registered customers can purchase streaming movies.,ecommerce,se,raw
raw_0202,A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,ecommerce,se,raw
raw_0203,Only authorized personnel can access customer records in the database.,ecommerce,se,raw
raw_0204,All customer information will be stored on a secure database accessible only to authorized personnel.,ecommerce,se,raw
raw_0205,All credit card information will be encrypted in the database.,banking,se,raw
raw_0206,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,ecommerce,l,raw
raw_0207,Website shall request and authorize credit card payment before allowing a user to stream a movie.,banking,f,raw
raw_0208,shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.,ecommerce,f,raw
raw_0209,Website shall allow customers to add their own movie review for a selected movie.,ecommerce,f,raw
raw_0210,Website shall allow the Izogn administrator to approve a review posted by a customer.,ecommerce,f,raw
raw_0211,Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.,banking,f,raw
raw_0212,System shall allow users to update their billing and contact information via the My Account section of the website.,banking,f,raw
raw_0213,Only registered customers can purchase streaming movies.,ecommerce,f,raw
raw_0214,Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.,ecommerce,f,raw
raw_0215,All registered customer information shall be stored and maintained in the database even after the customer cancels their account.,banking,f,raw
raw_0216,For leads that process longer than 25 seconds the system will record the event and duration,healthcare,pe,raw
raw_0217,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,education,pe,raw
raw_0218,Washing parameters will be updated during scheduled maintenance hours.,field_service,mn,raw
raw_0219,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,ecommerce,f,raw
raw_0220,The product shall simulate the look of ships at sea.,ecommerce,lf,raw
raw_0221,The product shall display the grids within a circle as a view from a periscope.,ecommerce,lf,raw
raw_0222,The product shall display each type of ship in a grid using an image of the specific type of ship.,ecommerce,lf,raw
raw_0223,When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,ecommerce,lf,raw
raw_0224,When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,ecommerce,lf,raw
raw_0225,When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.,ecommerce,lf,raw
raw_0226,When a ship is sunk the product shall simulate the sound of a sinking ship.,ecommerce,lf,raw
raw_0227,The product shall be available 24 hours per day seven days per week.,ecommerce,a,raw
raw_0228,The product shall able to handle a large number of games simultaneously.,ecommerce,pe,raw
raw_0229,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,ecommerce,pe,raw
raw_0230,The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.,ecommerce,us,raw
raw_0231,The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.,ecommerce,us,raw
raw_0232,The product shall provide players no access to information that might reveal the identity of another player,ecommerce,se,raw
raw_0233,The product shall maintain a list of players.,ecommerce,f,raw
raw_0234,The product shall allow a user to identify himself or herself as a player.,ecommerce,f,raw
raw_0235,Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.,ecommerce,f,raw
raw_0236,The product shall allow a user to remove himself or herself from the list of players at any time.,ecommerce,f,raw
raw_0237,The product shall make inactive players unavailable for selection from the list of players.,ecommerce,f,raw
raw_0238,The product shall remove players who have been inactive for 24 hours from the list of players.,ecommerce,f,raw
raw_0239,The product shall allow a player to initiate a game by selecting another available player from the list of players.,ecommerce,f,raw
raw_0240,Once a game is initiated the product shall display a defensive grid to each player,ecommerce,f,raw
raw_0241,Once a game is initiated the product shall display an offensive grid to each player.,ecommerce,f,raw
raw_0242,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,ecommerce,f,raw
raw_0243,Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.,ecommerce,f,raw
raw_0244,The product shall allow a player to position ships horizontally on their grid.,ecommerce,f,raw
raw_0245,The product shall allow the player to position ships vertically on their grid.,ecommerce,f,raw
raw_0246,The product shall allow the player to position ships diagonally on their grid,ecommerce,f,raw
raw_0247,The product shall prevent the player from overlapping ships on their grid.,ecommerce,f,raw
raw_0248,When both players have positioned their 5 ships on their defensive grids the product shall define the status of each player for the first turn.,ecommerce,f,raw
raw_0249,For each turn the product shall identify one player as offensive status and one player as defensive status.,ecommerce,f,raw
raw_0250,The product shall maintain the status of each player for a turn either offensive or defensive.,ecommerce,f,raw
raw_0251,At the start of each turn the product shall notify each player of his or her status.,ecommerce,f,raw
raw_0252,For each turn the product shall allow the offensive player to define a shot.,ecommerce,f,raw
raw_0253,For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,ecommerce,f,raw
raw_0254,For each shot the product shall notify the players whether the shot was a hit or miss.,ecommerce,f,raw
raw_0255,For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,ecommerce,f,raw
raw_0256,For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,ecommerce,f,raw
raw_0257,When the hit results in sinking a ship the product shall notify the players that the ship was sunk.,ecommerce,f,raw
raw_0258,When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.,ecommerce,f,raw
raw_0259,When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,ecommerce,f,raw
raw_0260,When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player.,ecommerce,f,raw
raw_0261,If the shot was marked as a hit the product shall allow the offensive player to define a shot.,ecommerce,f,raw
raw_0262,If the shot was marked as a miss the product shall change the status of the offensive player to defensive,ecommerce,f,raw
raw_0263,If the shot was marked as a miss the product shall change the status of the defensive player to offensive,ecommerce,f,raw
raw_0264,The product shall continue to assign turns until the game is ended.,ecommerce,f,raw
raw_0265,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive players ships which had not been previously marked as sunk.,ecommerce,f,raw
raw_0266,The product shall allow a player to end a game at any time during the game.,ecommerce,f,raw
raw_0267,When a game is ended the product shall notify the players that the game is ended.,ecommerce,f,raw
raw_0268,When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players.,ecommerce,f,raw
raw_0269,When a game is ended the product shall allow each player to remove himself or herself from the list of players.,ecommerce,f,raw
raw_0270,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,ecommerce,mn,raw
raw_0271,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,ecommerce,se,raw
raw_0272,The product shall ensure that only supervisors can enter a callers schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,ecommerce,se,raw
raw_0273,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,ecommerce,se,raw
raw_0274,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,ecommerce,lf,raw
raw_0275,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,ecommerce,lf,raw
raw_0276,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,ecommerce,us,raw
raw_0277,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,banking,us,raw
